Year,Semester,Instructor,Subj,Crse,A,B,C,D,F,W
2017,Spring,"Mello, Keith",ACCT,D001A,19,9,4,0,2,4
2017,Spring,"Mello, Keith",ACCT,D001A,18,6,5,3,0,11
2017,Spring,"Hurst, Stephen",ACCT,D001A,8,6,5,1,8,8
2017,Spring,"Kwak, Christopher",ACCT,D001A,7,5,0,4,10,8
2017,Spring,"Osborne, Lawrence",ACCT,D001A,12,15,4,4,5,2
2017,Spring,"Hammond, Laurienne",ACCT,D001A,6,6,6,0,10,9
2017,Spring,"Ratchford, Timothy",ACCT,D001A,11,11,7,2,6,3
2017,Spring,"Breen, Mary",ACCT,D001A,8,3,6,8,8,7
2017,Spring,"Botsford, Lydia",ACCT,D001A,9,9,5,2,9,4
2017,Spring,"West, Jeffrey",ACCT,D001A,12,8,6,4,3,8
2017,Spring,"Venkata, Lakshmamma",ACCT,D001A,9,6,12,2,10,5
2017,Spring,"Mello, Keith",ACCT,D001A,5,7,4,2,6,8
2017,Spring,"Jeanpierre, Letha",ACCT,D001A,10,11,7,0,5,13
2017,Spring,"Breen, Mary",ACCT,D001B,4,4,6,4,5,5
2017,Spring,"Breen, Mary",ACCT,D001B,13,3,8,5,6,2
2017,Spring,"Venkata, Lakshmamma",ACCT,D001B,3,5,6,4,7,4
2017,Spring,"Mello, Kevin",ACCT,D001B,4,8,10,1,1,15
2017,Spring,"Ratchford, Timothy",ACCT,D001B,19,16,4,1,2,5
2017,Spring,"Kwak, Christopher",ACCT,D001B,16,11,6,1,1,0
2017,Spring,"Mello, Kevin",ACCT,D001B,7,15,10,0,1,6
2017,Spring,"West, Jeffrey",ACCT,D001B,13,11,7,3,4,2
2017,Spring,"Gough, Walter",ACCT,D001B,8,9,10,7,6,3
2017,Spring,"Kwak, Christopher",ACCT,D001B,4,12,8,0,5,3
2017,Spring,"Osborne, Lawrence",ACCT,D001C,21,14,6,0,0,0
2017,Spring,"Botsford, Lydia",ACCT,D001C,19,11,2,0,0,7
2017,Spring,"Gough, Walter",ACCT,D001C,49,9,7,2,1,2
2017,Spring,"Salah, Danny",ACCT,D001C,21,21,4,1,1,0
2017,Spring,"Breen, Mary",ACCT,D001C,11,4,2,0,2,3
2017,Spring,"Martinelli, Mark",ACCT,D001C,5,7,6,2,5,2
2017,Spring,"Martinelli, Mark",ACCT,D001C,4,4,2,2,2,0
2017,Spring,"Hurst, Stephen",ACCT,D001C,17,21,5,0,1,2
2017,Spring,"Park, Se",ACCT,D001C,12,5,4,0,1,3
2017,Spring,"Salah, Danny",ACCT,D001C,12,17,18,0,0,2
2017,Spring,"Osborne, Lawrence",ACCT,D001C,26,15,4,2,1,0
2017,Spring,"Breen, Mary",ACCT,D01AH,1,0,0,0,0,0
2017,Spring,"Breen, Mary",ACCT,D01BH,2,0,0,0,0,0
2017,Spring,"Mello, Kevin",ACCT,D051A,3,7,5,2,0,6
2017,Spring,"Mello, Kevin",ACCT,D051B,14,8,2,1,1,2
2017,Spring,"Kwak, Christopher",ACCT,D058,15,3,0,0,1,0
2017,Spring,"Masters, Lilian",ACCT,D064,10,8,5,1,2,4
2017,Spring,"Riordan, Michael",ACCT,D067A,10,13,1,0,3,1
2017,Spring,"Botsford, Lydia",ACCT,D067A,9,10,3,0,4,4
2017,Spring,"Botsford, Lydia",ACCT,D067B,9,6,2,0,3,3
2017,Spring,"Mello, Keith",ACCT,D073,5,9,3,0,3,2
2017,Spring,"Hammond, Laurienne",ACCT,D088,11,6,2,0,4,4
2017,Spring,"Hammond, Laurienne",ACCT,D088,8,10,1,0,2,3
2017,Spring,"Hammond, Laurienne",ACCT,D87AI,27,0,0,0,2,0
2017,Spring,"Suits, James",ADMJ,D001,4,9,10,7,5,7
2017,Spring,"Gomes, Rodney",ADMJ,D001,10,6,8,3,9,3
2017,Spring,"Ellis, Terry",ADMJ,D003,7,13,7,3,5,4
2017,Spring,"Suits, James",ADMJ,D005,6,12,14,1,6,1
2017,Spring,"Lowy, Michael",ADMJ,D025,1,5,4,0,1,5
2017,Spring,"Gomes, Rodney",ADMJ,D054,9,16,6,3,4,3
2017,Spring,"Bonini, Griffin",ADMJ,D055,17,9,1,1,2,1
2017,Spring,"Suits, James",ADMJ,D056,4,9,8,3,6,4
2017,Spring,"Garrido, Jeremiah",ADMJ,D061,10,25,4,1,0,2
2017,Spring,"Peretti, Bryan",ADMJ,D073,17,8,10,0,4,0
2017,Spring,"Suits, James",ADMJ,D074A,4,10,2,0,1,0
2017,Spring,"Lawlor, Marni",ADMJ,D078,3,7,2,0,0,3
2017,Spring,"Ellis, Terry",ADMJ,D090A,3,9,9,6,1,3
2017,Spring,"Hui, Julie",ANTH,D001,8,4,2,1,4,2
2017,Spring,"Tiwana, Ameeta",ANTH,D001,20,14,5,0,1,3
2017,Spring,"Tiwana, Ameeta",ANTH,D001,32,19,6,2,4,6
2017,Spring,"Nengo, Isaiah",ANTH,D001,11,15,12,2,3,5
2017,Spring,"Nengo, Isaiah",ANTH,D001,12,8,6,4,3,2
2017,Spring,"Soluri, Kathaeryne",ANTH,D001,23,19,3,0,1,1
2017,Spring,"Andrade, Claudia",ANTH,D001,13,11,9,3,6,4
2017,Spring,"Nengo, Isaiah",ANTH,D001,12,15,6,1,5,1
2017,Spring,"Berry, Leslie",ANTH,D001,67,7,2,0,4,1
2017,Spring,"Tiwana, Ameeta",ANTH,D001H,1,0,0,0,0,0
2017,Spring,"Nengo, Isaiah",ANTH,D001L,16,6,4,0,2,2
2017,Spring,"Tiwana, Ameeta",ANTH,D001L,21,8,0,0,0,0
2017,Spring,"Tiwana, Ameeta",ANTH,D001L,16,8,0,0,0,3
2017,Spring,"Nengo, Isaiah",ANTH,D001L,5,10,7,2,0,2
2017,Spring,"Tiwana, Ameeta",ANTH,D002,8,10,3,1,2,4
2017,Spring,"Smith, Marissa",ANTH,D002,13,13,4,3,4,2
2017,Spring,"Nengo, Isaiah",ANTH,D002,9,10,6,0,3,3
2017,Spring,"Yang, Kyejung",ANTH,D002,20,10,4,0,2,5
2017,Spring,"Yang, Kyejung",ANTH,D002,11,5,3,1,2,1
2017,Spring,"Smith, Marissa",ANTH,D002,16,14,6,0,5,6
2017,Spring,"Patel, Shankari",ANTH,D002,10,2,2,0,1,0
2017,Spring,"Andrade, Claudia",ANTH,D002,11,12,3,6,9,4
2017,Spring,"Smith, Marissa",ANTH,D002,7,5,5,4,4,5
2017,Spring,"Ishaya, Arianne",ANTH,D002,29,11,3,4,7,4
2017,Spring,"Tiwana, Ameeta",ANTH,D002H,2,0,0,0,0,0
2017,Spring,"Pierce, Lorna",ANTH,D007,11,10,2,1,4,8
2017,Spring,"Wishart, William",APRN,D050A,0,0,1,0,0,0
2017,Spring,"O’Brien, Forrest",APRN,D050B,1,0,0,0,0,0
2017,Spring,"McCart, Michael",APRN,D060,0,0,2,0,0,0
2017,Spring,"Walton, Johnathan",APRN,D060C,0,2,5,2,1,0
2017,Spring,"Walton, Johnathan",APRN,D060H,1,4,4,0,0,0
2017,Spring,"Walton, Johnathan",APRN,D060J,1,4,4,0,0,0
2017,Spring,"Maynard, Richard",APRN,D063A,0,1,2,1,0,0
2017,Spring,"McCart, Michael",APRN,D067J,2,0,0,0,0,0
2017,Spring,"Tucker, Scott",APRN,D64HP,1,0,0,0,0,0
2017,Spring,"Mjelde, Elizabeth",ARTS,D001A,31,22,14,2,13,9
2017,Spring,"Karmi, Yael",ARTS,D001A,33,22,3,0,1,0
2017,Spring,"Kleit, Natasha",ARTS,D001A,21,9,1,1,5,3
2017,Spring,"Becerril, Linda",ARTS,D001A,15,10,10,1,7,5
2017,Spring,"Pasturel, Deborah",ARTS,D002A,75,17,0,0,6,2
2017,Spring,"Pasturel, Deborah",ARTS,D002A,17,10,0,0,0,1
2017,Spring,"Peterson, Heather",ARTS,D002B,14,13,4,2,2,14
2017,Spring,"Roehl, Paul",ARTS,D002C,39,12,0,0,2,1
2017,Spring,"Bridger, Nicholas",ARTS,D002F,7,2,2,0,1,1
2017,Spring,"Bridger, Nicholas",ARTS,D002F,6,3,2,0,1,1
2017,Spring,"Cadge-Moore, Catie",ARTS,D002F,3,7,1,0,1,2
2017,Spring,"Cadge-Moore, Catie",ARTS,D002F,4,6,2,0,0,1
2017,Spring,"Lee, So Kam",ARTS,D002F,2,2,4,3,2,4
2017,Spring,"Lee, So Kam",ARTS,D002G,11,1,3,3,2,5
2017,Spring,"Cadge-Moore, Catie",ARTS,D002J,10,7,1,0,6,5
2017,Spring,"Coon, Cheryl",ARTS,D004A,5,2,3,2,1,6
2017,Spring,"Engel, Mark",ARTS,D004A,6,7,3,0,6,3
2017,Spring,"Huang, Meiru",ARTS,D004A,13,7,1,0,0,2
2017,Spring,"Coon, Cheryl",ARTS,D004A,9,8,4,0,2,3
2017,Spring,"Lanam, Todd",ARTS,D004A,11,3,3,0,2,1
2017,Spring,"Shaw, Marsha",ARTS,D004A,3,2,5,2,4,3
2017,Spring,"Huang, Meiru",ARTS,D004B,10,13,1,1,0,0
2017,Spring,"Coon, Cheryl",ARTS,D004B,9,12,3,0,2,1
2017,Spring,"Chandras, Prakash",ARTS,D004C,15,11,0,0,1,1
2017,Spring,"Briggs, Marcia",ARTS,D008,30,1,0,0,0,1
2017,Spring,"Jauch, Patricia",ARTS,D008,18,3,1,0,0,6
2017,Spring,"Ohtake, Motosuke",ARTS,D010A,13,3,0,0,0,0
2017,Spring,"Jauch, Patricia",ARTS,D010A,20,1,0,0,0,3
2017,Spring,"Ohtake, Motosuke",ARTS,D010B,4,0,0,0,0,0
2017,Spring,"Jauch, Patricia",ARTS,D010B,7,0,0,0,0,0
2017,Spring,"Norris, Felicita",ARTS,D012,19,2,3,0,0,0
2017,Spring,"Miki, Masako",ARTS,D012,11,5,1,0,0,0
2017,Spring,"Battiato, Cheryl",ARTS,D015A,9,4,1,0,0,0
2017,Spring,"Battiato, Cheryl",ARTS,D015B,6,1,0,0,0,0
2017,Spring,"Battiato, Cheryl",ARTS,D015C,3,1,0,0,1,0
2017,Spring,"Geisinger, William",ARTS,D018A,12,3,1,1,5,2
2017,Spring,"Lewycky, Jonathon",ARTS,D018A,17,6,0,0,4,0
2017,Spring,"Lewycky, Jonathon",ARTS,D018A,8,1,1,0,0,1
2017,Spring,"Lewycky, Jonathon",ARTS,D018B,12,3,0,0,0,0
2017,Spring,"Lewycky, Jonathon",ARTS,D018C,4,1,0,0,0,0
2017,Spring,"Geisinger, William",ARTS,D018D,1,0,0,0,0,1
2017,Spring,"Lewycky, Jonathon",ARTS,D018E,1,0,0,0,0,1
2017,Spring,"Lewycky, Jonathon",ARTS,D019M,15,2,0,0,0,0
2017,Spring,"Lewycky, Jonathon",ARTS,D020,2,0,0,0,0,0
2017,Spring,"Ohtake, Motosuke",ARTS,D037A,4,6,3,0,2,2
2017,Spring,"Ohtake, Motosuke",ARTS,D037B,4,0,1,0,0,0
2017,Spring,"Ohtake, Motosuke",ARTS,D037C,2,0,0,0,0,0
2017,Spring,"Mjelde, Elizabeth",ARTS,D03TC,11,3,1,0,2,3
2017,Spring,"Marquez, Marco",ARTS,D053A,17,8,0,0,0,4
2017,Spring,"Kasikci, Gokce",ARTS,D053B,26,2,0,0,1,3
2017,Spring,"Cole, Michael",ARTS,D055A,10,12,1,1,0,0
2017,Spring,"Ohtake, Motosuke",ARTS,D058A,4,1,1,0,3,3
2017,Spring,"Ohtake, Motosuke",ARTS,D058B,2,4,0,0,3,0
2017,Spring,"Ohtake, Motosuke",ARTS,D058C,1,0,0,0,0,0
2017,Spring,"Marquez, Marco",ARTS,D063,27,2,0,0,0,3
2017,Spring,"Marquez, Marco",ARTS,D065,15,10,1,0,0,5
2017,Spring,"Argabrite, Diana",ARTS,D072,2,0,0,0,0,0
2017,Spring,"Cichanski, Marek",ASTR,D004,23,35,35,5,10,4
2017,Spring,"Harrington, Sherwood",ASTR,D004,44,41,30,1,9,8
2017,Spring,"Harrington, Sherwood",ASTR,D004,30,23,13,1,3,2
2017,Spring,"Olejniczak, Paul",ASTR,D004,71,16,3,2,2,1
2017,Spring,"Kidd, Taylor",ASTR,D004,42,29,5,1,11,15
2017,Spring,"Cichanski, Marek",ASTR,D010,3,14,5,0,9,2
2017,Spring,"Peterson, Eric",ASTR,D010,6,6,9,5,6,11
2017,Spring,"Cichanski, Marek",ASTR,D015L,35,3,2,0,0,0
2017,Spring,"Wishart, William",AUTO,D050A,6,6,9,3,4,9
2017,Spring,"Wishart, William",AUTO,D050A,10,6,1,0,1,5
2017,Spring,"Walton, Johnathan",AUTO,D050B,10,10,2,0,2,1
2017,Spring,"O’Brien, Forrest",AUTO,D050B,9,4,1,0,2,4
2017,Spring,"Wishart, William",AUTO,D051A,7,8,5,0,0,3
2017,Spring,"Wishart, William",AUTO,D051A,5,2,5,1,1,3
2017,Spring,"Wishart, William",AUTO,D051B,15,5,2,0,0,2
2017,Spring,"Wishart, William",AUTO,D051B,7,4,1,1,1,0
2017,Spring,"Capitolo, David",AUTO,D057A,22,4,4,0,1,2
2017,Spring,"McCart, Michael",AUTO,D060,2,12,2,1,4,5
2017,Spring,"Walton, Johnathan",AUTO,D060C,2,10,8,3,0,0
2017,Spring,"Walton, Johnathan",AUTO,D060H,2,4,5,0,1,0
2017,Spring,"Walton, Johnathan",AUTO,D060J,1,5,4,0,0,2
2017,Spring,"Zimbauer, Keith",AUTO,D062B,5,6,0,1,0,2
2017,Spring,"Maynard, Richard",AUTO,D063A,2,2,0,1,2,0
2017,Spring,"McCart, Michael",AUTO,D067J,6,1,2,0,1,1
2017,Spring,"Vernazza, Lawrence",AUTO,D069Y,9,11,0,0,0,0
2017,Spring,"Maynard, Richard",AUTO,D093C,4,10,8,1,1,1
2017,Spring,"Maynard, Richard",AUTO,D093D,4,11,7,2,1,0
2017,Spring,"Maynard, Richard",AUTO,D093E,4,10,8,1,1,0
2017,Spring,"Maynard, Richard",AUTO,D093F,4,10,8,1,1,1
2017,Spring,"Capitolo, David",AUTO,D094E,2,9,8,5,0,0
2017,Spring,"Capitolo, David",AUTO,D094F,10,10,1,1,2,0
2017,Spring,"Vernazza, Lawrence",AUTO,D099E,9,9,6,0,0,1
2017,Spring,"Vernazza, Lawrence",AUTO,D099F,18,4,2,0,0,0
2017,Spring,"Tucker, Scott",AUTO,D64HP,10,0,0,0,2,1
2017,Spring,"Heyer, Bruce",BIOL,D006A,0,4,10,7,2,8
2017,Spring,"Heyer, Bruce",BIOL,D006A,3,3,5,8,2,10
2017,Spring,"Mccauley, Brian",BIOL,D006B,1,5,8,4,7,6
2017,Spring,"Mccauley, Brian",BIOL,D006B,5,7,6,3,3,2
2017,Spring,"Mcpartlan, Elizabeth",BIOL,D006C,13,17,0,0,0,1
2017,Spring,"Mcpartlan, Elizabeth",BIOL,D006C,11,18,3,0,0,0
2017,Spring,"Johnson, Robert",BIOL,D006C,22,10,0,0,0,0
2017,Spring,"Bordignon, Guido",BIOL,D006C,20,9,2,0,1,0
2017,Spring,"Cuff-Alvarado, Judy",BIOL,D010,15,8,7,0,2,2
2017,Spring,"Cuff-Alvarado, Judy",BIOL,D010,11,7,6,0,2,7
2017,Spring,"Bram, Jason",BIOL,D010,7,8,11,0,0,6
2017,Spring,"Bram, Jason",BIOL,D010,9,5,11,2,1,6
2017,Spring,"Sengupta, Susmita",BIOL,D010,7,3,3,0,7,4
2017,Spring,"Sengupta, Susmita",BIOL,D010,5,4,4,0,3,9
2017,Spring,"Nakase, Dana",BIOL,D010,25,7,3,0,0,1
2017,Spring,"Nakase, Dana",BIOL,D010,25,1,2,0,3,0
2017,Spring,"Pane, Eric",BIOL,D010,2,9,7,4,3,6
2017,Spring,"Pane, Eric",BIOL,D010,3,7,7,6,5,4
2017,Spring,"Nakase, Dana",BIOL,D010H,1,0,0,0,0,0
2017,Spring,"Nakase, Dana",BIOL,D010H,2,0,0,0,0,0
2017,Spring,"Pane, Eric",BIOL,D010H,1,0,0,0,0,0
