Year,Semester,Instructor,Subj,Crse,A,B,C,D,F,W
2018,Spring,"Mello, Keith",ACCT,D001A,25,6,3,0,2,4
2018,Spring,"Botsford, Lydia",ACCT,D001A,12,10,2,2,6,6
2018,Spring,"Breen, Mary",ACCT,D001A,14,5,7,1,11,5
2018,Spring,"Osborne, Lawrence",ACCT,D001A,25,9,3,0,2,1
2018,Spring,"Breen, Mary",ACCT,D001A,11,8,10,1,3,8
2018,Spring,"Botsford, Lydia",ACCT,D001A,18,18,1,1,3,3
2018,Spring,"Venkata, Lakshmamma",ACCT,D001A,12,8,4,1,6,6
2018,Spring,"Venkata, Lakshmamma",ACCT,D001A,8,7,6,3,7,4
2018,Spring,"Breen, Mary",ACCT,D001A,10,7,7,2,6,5
2018,Spring,"Jeanpierre, Letha",ACCT,D001A,9,10,4,3,8,9
2018,Spring,"Kwak, Christopher",ACCT,D001A,3,3,2,2,9,7
2018,Spring,"Breen, Mary",ACCT,D001B,18,10,4,1,4,2
2018,Spring,"West, Jeffrey",ACCT,D001B,15,5,6,5,7,6
2018,Spring,"Mello, Kevin",ACCT,D001B,3,6,6,4,4,10
2018,Spring,"Martinelli, Mark",ACCT,D001B,5,6,4,5,3,5
2018,Spring,"Kwak, Christopher",ACCT,D001B,14,5,4,0,1,3
2018,Spring,"Mello, Kevin",ACCT,D001B,3,6,2,3,4,18
2018,Spring,"West, Jeffrey",ACCT,D001B,12,7,5,1,6,10
2018,Spring,"Kwak, Christopher",ACCT,D001B,2,17,8,3,4,4
2018,Spring,"Osborne, Lawrence",ACCT,D001C,29,14,0,0,0,1
2018,Spring,"Botsford, Lydia",ACCT,D001C,20,15,3,1,1,1
2018,Spring,"Hurst, Stephen",ACCT,D001C,12,19,12,0,0,4
2018,Spring,"Salah, Danny",ACCT,D001C,10,22,7,1,0,2
2018,Spring,"Ratchford, Timothy",ACCT,D001C,10,10,5,3,4,1
2018,Spring,"Ratchford, Timothy",ACCT,D001C,5,16,11,0,1,3
