Year,Semester,Instructor,Subj,Crse,A,B,C,D,F,W
2016,Spring,"Mello, Keith",ACCT,D001A,20,7,4,3,4,5
2016,Spring,"Mello, Keith",ACCT,D001A,31,4,3,3,0,1
2016,Spring,"Breen, Mary",ACCT,D001A,15,6,3,2,9,11
2016,Spring,"Osborne, Lawrence",ACCT,D001A,15,13,5,1,2,5
2016,Spring,"Venkata, Lakshmamma",ACCT,D001A,10,7,5,6,10,10
2016,Spring,"Hurst, Stephen",ACCT,D001A,11,7,11,4,7,4
2016,Spring,"Pirrone, David",ACCT,D001A,47,16,2,0,3,0
2016,Spring,"West, Jeffrey",ACCT,D001A,15,9,9,4,7,9
2016,Spring,"Hedgpeth Iii, Samuel",ACCT,D001A,5,4,3,0,8,13
2016,Spring,"Gough, Walter",ACCT,D001A,7,2,3,1,8,13
2016,Spring,"Jeanpierre, Letha",ACCT,D001A,9,3,3,1,5,13
2016,Spring,"Mello, Kevin",ACCT,D001B,9,12,7,3,1,10
2016,Spring,"Ratchford, Timothy",ACCT,D001B,18,13,7,0,4,4
2016,Spring,"Breen, Mary",ACCT,D001B,6,3,9,9,8,5
2016,Spring,"Ratchford, Timothy",ACCT,D001B,14,17,8,0,3,2
2016,Spring,"Mello, Kevin",ACCT,D001B,11,12,10,0,1,8
2016,Spring,"West, Jeffrey",ACCT,D001B,14,9,8,2,9,7
2016,Spring,"Mello, Kevin",ACCT,D001B,3,12,11,2,8,13
2016,Spring,"Osborne, Lawrence",ACCT,D001C,26,13,2,0,0,0
2016,Spring,"Breen, Mary",ACCT,D001C,13,5,7,1,4,7
2016,Spring,"Gough, Walter",ACCT,D001C,30,16,3,1,2,4
2016,Spring,"Pirrone, David",ACCT,D001C,67,14,1,0,2,0
2016,Spring,"Hurst, Stephen",ACCT,D001C,14,26,4,0,1,2
2016,Spring,"Venkata, Lakshmamma",ACCT,D001C,9,14,9,0,1,4
2016,Spring,"Breen, Mary",ACCT,D001C,11,7,2,0,1,2
2016,Spring,"Park, Se",ACCT,D001C,3,2,8,0,1,1
2016,Spring,"Osborne, Lawrence",ACCT,D001C,17,21,1,1,1,5
2016,Spring,"Mello, Kevin",ACCT,D01BH,1,0,1,0,0,0
2016,Spring,"Park, Se",ACCT,D051A,9,8,1,0,1,4
2016,Spring,"Mello, Kevin",ACCT,D051B,13,11,3,1,0,4
2016,Spring,"Mello, Keith",ACCT,D058,11,9,3,1,1,0
2016,Spring,"Masters, Lilian",ACCT,D064,8,2,6,1,1,1
2016,Spring,"Masters, Lilian",ACCT,D064,7,7,3,1,2,4
2016,Spring,"Riordan, Michael",ACCT,D067A,13,12,4,1,4,4
2016,Spring,"Hammond, Laurienne",ACCT,D088,15,5,1,0,2,4
2016,Spring,"Hammond, Laurienne",ACCT,D088,10,3,3,0,3,6
2016,Spring,"Hammond, Laurienne",ACCT,D87AI,21,3,0,0,1,1
2016,Spring,"Hammond, Laurienne",ACCT,D87AI,21,0,0,0,1,1
2016,Spring,"Suits, James",ADMJ,D001,6,10,15,5,10,2
2016,Spring,"Suits, James",ADMJ,D001,7,5,15,5,8,6
2016,Spring,"Ellis, Terry",ADMJ,D003,6,12,10,0,8,5
2016,Spring,"Suits, James",ADMJ,D005,19,8,9,1,1,0
2016,Spring,"Peretti, Bryan",ADMJ,D050,9,8,10,4,5,2
2016,Spring,"Gomes, Rodney",ADMJ,D051,9,11,9,0,4,3
2016,Spring,"Gomes, Rodney",ADMJ,D054,13,15,8,2,3,0
2016,Spring,"Bonini, Griffin",ADMJ,D055,11,17,3,0,0,1
2016,Spring,"Suits, James",ADMJ,D056,7,9,11,1,5,1
2016,Spring,"Garrido, Jeremiah",ADMJ,D061,14,15,2,0,1,0
2016,Spring,"Ellis, Terry",ADMJ,D064X,1,0,0,0,0,0
2016,Spring,"Ellis, Terry",ADMJ,D090A,11,7,6,9,9,0
2016,Spring,"Hui, Julie",ANTH,D001,8,9,6,1,8,12
2016,Spring,"Tiwana, Ameeta",ANTH,D001,18,13,6,1,4,5
2016,Spring,"Tiwana, Ameeta",ANTH,D001,1,0,0,0,0,0
2016,Spring,"Tiwana, Ameeta",ANTH,D001,18,19,10,6,6,10
2016,Spring,"Tiwana, Ameeta",ANTH,D001,2,0,0,0,0,0
