Year,Semester,Instructor,Subj,Crse,A,B,C,D,F,W
2015,Fall,"Mello, Keith",ACCT,D001A,19,9,6,2,2,2
2015,Fall,"Osborne, Lawrence",ACCT,D001A,24,8,2,1,4,2
2015,Fall,"Breen, Mary",ACCT,D001A,10,10,8,10,4,1
2015,Fall,"Gough, Walter",ACCT,D001A,16,3,6,3,6,8
2015,Fall,"Hung, Lih",ACCT,D001A,21,12,4,3,2,3
2015,Fall,"Osborne, Lawrence",ACCT,D001A,24,16,4,1,1,1
2015,Fall,"Breen, Mary",ACCT,D001A,15,9,5,0,5,9
2015,Fall,"Breen, Mary",ACCT,D001A,11,8,3,5,6,8
2015,Fall,"Breen, Mary",ACCT,D001A,13,7,4,2,8,4
2015,Fall,"Ratchford, Timothy",ACCT,D001A,10,8,10,2,8,2
2015,Fall,"Botsford, Lydia",ACCT,D001A,13,9,3,4,7,2
2015,Fall,"Mello, Kevin",ACCT,D001A,9,14,8,1,4,5
2015,Fall,"Hurst, Stephen",ACCT,D001A,12,7,10,3,7,3
2015,Fall,"Venkata, Lakshmamma",ACCT,D001A,9,4,9,6,6,7
2015,Fall,"Pirrone, David",ACCT,D001A,41,5,4,1,3,6
2015,Fall,"Park, Se",ACCT,D001A,10,6,4,1,4,6
2015,Fall,"Pirrone, David",ACCT,D001A,21,9,4,1,3,12
2015,Fall,"Gough, Walter",ACCT,D001A,8,8,6,4,10,13
2015,Fall,"Mello, Kevin",ACCT,D001B,10,13,9,3,1,8
2015,Fall,"Botsford, Lydia",ACCT,D001B,21,10,7,1,3,4
2015,Fall,"Botsford, Lydia",ACCT,D001B,13,12,6,2,8,2
2015,Fall,"Hung, Lih",ACCT,D001B,26,17,3,1,1,3
2015,Fall,"Hurst, Stephen",ACCT,D001B,5,20,5,0,2,8
2015,Fall,"Hedgpeth Iii, Samuel",ACCT,D001B,3,2,5,0,4,1
2015,Fall,"Mello, Kevin",ACCT,D001B,11,14,6,4,4,9
2015,Fall,"West, Jeffrey",ACCT,D001B,9,7,4,3,5,6
2015,Fall,"West, Jeffrey",ACCT,D001C,16,15,13,3,1,4
2015,Fall,"Mello, Keith",ACCT,D001C,19,15,4,1,0,1
2015,Fall,"Venkata, Lakshmamma",ACCT,D001C,6,3,10,1,2,1
2015,Fall,"Mello, Keith",ACCT,D001C,25,8,3,1,0,2
2015,Fall,"Hedgpeth Iii, Samuel",ACCT,D001C,5,3,7,1,7,7
2015,Fall,"Osborne, Lawrence",ACCT,D001C,20,16,5,5,6,5
2015,Fall,"Breen, Mary",ACCT,D01AH,0,0,0,1,0,0
2015,Fall,"Mello, Kevin",ACCT,D01AH,1,0,0,0,0,0
2015,Fall,"Mello, Keith",ACCT,D01CH,4,0,0,0,0,0
2015,Fall,"Mello, Keith",ACCT,D01CH,1,0,0,0,0,0
2015,Fall,"Mello, Kevin",ACCT,D051A,17,12,6,0,0,5
2015,Fall,"Park, Se",ACCT,D051B,5,3,11,0,1,3
2015,Fall,"Masters, Lilian",ACCT,D064,3,3,5,1,3,2
2015,Fall,"Riordan, Michael",ACCT,D067A,11,14,6,2,1,6
2015,Fall,"Botsford, Lydia",ACCT,D067A,12,9,7,0,18,4
2015,Fall,"Botsford, Lydia",ACCT,D067B,16,4,0,1,16,7
2015,Fall,"Rodriguez, James",ACCT,D068,2,10,1,0,1,3
2015,Fall,"Osborne, Lawrence",ACCT,D075,15,3,3,1,4,8
2015,Fall,"Breen, Mary",ACCT,D086,8,6,2,3,3,5
2015,Fall,"Hammond, Laurienne",ACCT,D088,16,5,3,0,4,7
2015,Fall,"Hammond, Laurienne",ACCT,D105,14,1,0,0,5,4
2015,Fall,"Hammond, Laurienne",ACCT,D87AI,29,1,1,0,1,7
2015,Fall,"Suits, James",ADMJ,D001,6,13,12,1,6,7
2015,Fall,"Gomes, Rodney",ADMJ,D001,11,14,7,2,5,3
2015,Fall,"Peretti, Bryan",ADMJ,D001,7,7,6,11,13,4
2015,Fall,"Ellis, Terry",ADMJ,D003,9,15,5,3,5,3
2015,Fall,"Bonini, Griffin",ADMJ,D003,10,16,3,2,3,4
2015,Fall,"Suits, James",ADMJ,D005,16,12,9,2,1,0
2015,Fall,"Willemsen, Michael",ADMJ,D011,9,5,3,0,1,0
2015,Fall,"Lowy, Michael",ADMJ,D025,2,0,2,0,3,9
2015,Fall,"Kensler, Meghan",ADMJ,D029,9,4,0,1,10,1
2015,Fall,"Lawlor, Marni",ADMJ,D055,22,4,5,3,2,8
2015,Fall,"Suits, James",ADMJ,D056,1,13,9,4,6,4
2015,Fall,"Bonini, Griffin",ADMJ,D062,8,8,1,0,4,2
2015,Fall,"Ellis, Terry",ADMJ,D064,0,0,0,0,0,1
2015,Fall,"Ellis, Terry",ADMJ,D064Y,0,1,0,0,0,0
2015,Fall,"Gomes, Rodney",ADMJ,D073,7,6,8,7,4,2
2015,Fall,"Suits, James",ADMJ,D075,9,4,6,1,1,4
2015,Fall,"Garrido, Jeremiah",ADMJ,D084,13,8,1,1,4,1
2015,Fall,"Logan, Daniel",ADMJ,D090A,6,10,9,2,3,1
2015,Fall,"Cartier, Robert",ANTH,D001,16,11,14,2,3,2
2015,Fall,"Cartier, Robert",ANTH,D001,17,18,22,0,0,1
2015,Fall,"Tiwana, Ameeta",ANTH,D001,18,16,11,0,1,4
2015,Fall,"Tiwana, Ameeta",ANTH,D001,27,28,22,6,7,7
2015,Fall,"Nengo, Isaiah",ANTH,D001,8,12,8,1,9,11
2015,Fall,"Casareto, Ana",ANTH,D001,3,4,7,4,7,7
2015,Fall,"Casareto, Ana",ANTH,D001,2,5,11,5,13,11
2015,Fall,"Soluri, Kathaeryne",ANTH,D001,8,6,5,3,1,0
2015,Fall,"Nengo, Isaiah",ANTH,D001,8,4,9,3,7,5
2015,Fall,"Solomon, Daniel",ANTH,D001,21,12,5,3,5,2
2015,Fall,"Hui, Julie",ANTH,D001,6,8,3,2,1,2
2015,Fall,"Solomon, Daniel",ANTH,D001,17,8,6,5,5,3
2015,Fall,"Hui, Julie",ANTH,D001,18,9,11,1,2,11
2015,Fall,"Soluri, Kathaeryne",ANTH,D001L,20,6,0,0,0,0
2015,Fall,"Tiwana, Ameeta",ANTH,D001L,10,7,6,0,0,1
2015,Fall,"Tiwana, Ameeta",ANTH,D001L,18,7,4,0,3,3
2015,Fall,"Nengo, Isaiah",ANTH,D001L,4,7,6,3,1,2
2015,Fall,"Yang, Kyejung",ANTH,D002,14,13,5,3,6,4
2015,Fall,"Nengo, Isaiah",ANTH,D002,7,7,3,1,6,10
2015,Fall,"Nengo, Isaiah",ANTH,D002,17,9,4,0,5,7
2015,Fall,"Olsen, Nancy",ANTH,D002,6,3,3,8,3,3
2015,Fall,"Tiwana, Ameeta",ANTH,D002,20,16,9,2,1,2
2015,Fall,"Tiwana, Ameeta",ANTH,D002,1,0,0,0,0,0
2015,Fall,"Ishaya, Arianne",ANTH,D002,4,16,11,9,3,2
2015,Fall,"Smith, Marissa",ANTH,D002,24,8,5,3,4,2
2015,Fall,"Roque, Angel",ANTH,D002,28,8,4,0,1,7
2015,Fall,"Smith, Marissa",ANTH,D002,17,6,5,2,9,1
2015,Fall,"Andrade, Claudia",ANTH,D002,38,1,0,0,1,5
2015,Fall,"Ishaya, Arianne",ANTH,D002,20,12,4,4,5,11
2015,Fall,"Berry, Leslie",ANTH,D002,78,7,2,0,1,0
2015,Fall,"Cartier, Robert",ANTH,D003,28,9,9,0,1,3
2015,Fall,"Olsen, Nancy",ANTH,D004,3,1,5,1,4,4
2015,Fall,"Olsen, Nancy",ANTH,D004,1,0,0,0,0,0
2015,Fall,"Yang, Kyejung",ANTH,D006,20,10,1,0,1,5
2015,Fall,"Pierce, Lorna",ANTH,D007,11,12,7,1,4,4
2015,Fall,"McCart, Michael",APRN,D060,0,1,1,0,0,0
2015,Fall,"Walton, Johnathan",APRN,D060A,0,3,4,0,0,0
2015,Fall,"Walton, Johnathan",APRN,D060B,1,2,4,0,0,0
2015,Fall,"Walton, Johnathan",APRN,D060D,1,2,4,0,0,0
2015,Fall,"Walton, Johnathan",APRN,D060E,2,2,4,0,0,0
2015,Fall,"Maynard, Richard",APRN,D061A,0,2,1,1,0,0
2015,Fall,"Maynard, Richard",APRN,D061B,0,0,2,0,1,0
2015,Fall,"Maynard, Richard",APRN,D063,0,2,0,0,1,0
2015,Fall,"Capitolo, David",APRN,D064,0,3,4,0,0,0
2015,Fall,"McCart, Michael",APRN,D065P,1,0,0,0,0,0
2015,Fall,"McCart, Michael",APRN,D065W,1,0,0,0,0,0
2015,Fall,"Roehl, Paul",ARTS,D001A,77,40,2,0,6,2
2015,Fall,"Karmi, Yael",ARTS,D001A,40,32,17,2,5,9
2015,Fall,"Karmi, Yael",ARTS,D001A,26,14,1,1,5,0
2015,Fall,"Pasturel, Deborah",ARTS,D001B,97,13,4,0,1,1
2015,Fall,"Pasturel, Deborah",ARTS,D001B,3,0,0,0,0,0
2015,Fall,"Parsons, Katharyne",ARTS,D002A,9,8,5,5,9,10
2015,Fall,"Becerril, Linda",ARTS,D002B,9,8,2,3,10,12
2015,Fall,"Roehl, Paul",ARTS,D002C,49,17,0,0,1,0
2015,Fall,"Becerril, Linda",ARTS,D002D,8,13,13,2,5,6
2015,Fall,"Bridger, Nicholas",ARTS,D002F,7,4,4,1,2,3
2015,Fall,"Cadge-Moore, Catie",ARTS,D002F,8,5,7,0,4,1
2015,Fall,"Olsen, Nancy",ARTS,D002F,4,3,3,0,5,5
2015,Fall,"Cadge-Moore, Catie",ARTS,D002F,7,5,1,2,4,2
2015,Fall,"Cadge-Moore, Catie",ARTS,D002F,7,6,2,1,0,1
2015,Fall,"Lee, So Kam",ARTS,D002G,11,8,3,1,9,4
2015,Fall,"Lee, So Kam",ARTS,D002G,6,7,2,7,7,5
2015,Fall,"Cadge-Moore, Catie",ARTS,D002L,8,19,4,1,4,8
2015,Fall,"Briggs, Marcia",ARTS,D004A,24,1,0,0,1,0
2015,Fall,"Chandras, Prakash",ARTS,D004A,13,13,0,0,2,6
2015,Fall,"Battiato, Cheryl",ARTS,D004A,12,11,0,0,0,3
2015,Fall,"Chandras, Prakash",ARTS,D004A,17,8,0,1,3,4
2015,Fall,"Coon, Cheryl",ARTS,D004A,9,9,2,0,0,6
2015,Fall,"Miki, Masako",ARTS,D004A,7,8,2,0,4,5
2015,Fall,"Rodriguez, Eugene",ARTS,D004B,12,6,3,0,0,2
2015,Fall,"Engel, Mark",ARTS,D004B,15,2,2,1,8,2
2015,Fall,"Shaw, Marsha",ARTS,D008,21,5,1,0,4,0
2015,Fall,"Rodriguez, Eugene",ARTS,D008,16,8,1,0,2,1
2015,Fall,"Jauch, Patricia",ARTS,D010A,19,4,0,0,1,1
2015,Fall,"Jauch, Patricia",ARTS,D010B,4,0,0,0,0,0
2015,Fall,"Briggs, Marcia",ARTS,D012,23,0,0,0,1,1
2015,Fall,"Allie, Barbara",ARTS,D015A,22,0,0,0,1,1
2015,Fall,"Allie, Barbara",ARTS,D015B,2,0,0,0,0,0
2015,Fall,"Allie, Barbara",ARTS,D015C,1,0,0,0,0,0
2015,Fall,"Rodriguez, Eugene",ARTS,D016A,13,4,4,0,1,1
2015,Fall,"Rodriguez, Eugene",ARTS,D016B,3,1,0,0,1,0
2015,Fall,"Rodriguez, Eugene",ARTS,D016C,1,1,0,0,0,0
2015,Fall,"Lewycky, Jonathon",ARTS,D018A,13,5,1,0,1,1
2015,Fall,"Feld, Julia",ARTS,D018A,16,1,1,0,1,1
2015,Fall,"Lewycky, Jonathon",ARTS,D018A,10,4,0,1,5,5
2015,Fall,"Lewycky, Jonathon",ARTS,D018A,4,4,1,0,1,1
2015,Fall,"Lewycky, Jonathon",ARTS,D018D,1,2,0,0,0,0
2015,Fall,"Feld, Julia",ARTS,D018D,4,0,0,0,0,3
2015,Fall,"Lewycky, Jonathon",ARTS,D019M,13,0,0,0,0,0
2015,Fall,"Lewycky, Jonathon",ARTS,D020,1,0,1,0,0,0
2015,Fall,"Jauch, Patricia",ARTS,D037A,15,0,0,0,1,3
2015,Fall,"Jauch, Patricia",ARTS,D037B,1,0,0,0,0,0
2015,Fall,"Marquez, Marco",ARTS,D053A,18,6,3,0,3,1
2015,Fall,"Marquez, Marco",ARTS,D053A,16,4,3,0,5,0
2015,Fall,"Marquez, Marco",ARTS,D053B,18,9,1,0,0,1
2015,Fall,"Cole, Michael",ARTS,D055A,10,16,1,1,0,1
2015,Fall,"Marquez, Marco",ARTS,D056,21,11,0,1,0,1
2015,Fall,"Hedges, Andrew",ARTS,D058A,7,2,0,0,4,3
2015,Fall,"Hedges, Andrew",ARTS,D058B,3,0,0,0,1,2
